(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
(2, 5) -> (1, 5) Heuristic : 35
(10, 7) -> (9, 7) Heuristic : 25
(9, 10) -> (9, 9) Heuristic : 25
(39, 26) -> (39, 25) Heuristic : 23
(37, 27) -> (37, 26) Heuristic : 22


(2, 1) -> (1, 1) Heuristic : 39
